Highway,Side,Between,Prohibited Times and/or Days
Beatrice Street,West,Dundas Street West and a point 61 metres south of College Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Ashdale Avenue,West,Fairford Avenue and a point 299.7 metres north of Fairford Avenue,Anytime
Ashland Avenue,North,Coxwell Avenue and the east end of Ashland Avenue,Anytime
Ashland Avenue,South,A point 60 metres east of Coxwell Avenue and a point 7 metres further east,Anytime
Aziel Street,West,Annette Street and Humberside Avenue,Anytime
Baden Street,South,Ossington Avenue and the west end of Baden Avenue,Anytime
Badgerow Avenue,North,Carlaw Avenue and Pape Avenue,Anytime
Asquith Avenue,North,Church Street and a point 36.2 metres further west,Sun.
Badgerow Avenue,South,A point 99 metres east of Pape Avenue and a point 5.5 metres further east,Anytime
Beaumont Street,Both,Glen Road and the east end of Beaumont Street,Anytime
Beaver Avenue,North,Dufferin Street and a point 65.5 metres east of Lightbourn Avenue,Anytime
Bedford Park Avenue,North,Yonge Street and Jedburgh Road,Anytime
Barton Avenue,South,Albany Avenue and Bathurst Street,"8:00 a.m. to 6:00 p.m., except Sun. and public holidays"
Barton Avenue,South,Shaw Street and Christie Street,Anytime
Basin Street,South,Bouchette Street and a point 152.4 metres west,8:00 a.m. to 6:00 p.m.
Asquith Avenue,South,A point 34 metres east of Church Street and St. Paul's Square,8:00 a.m. to 6:00 p.m.
Asquith Avenue,South,A point 9 metres east of Church Street and a point 25 metres further east,"9:00 a.m. to 11:30 a.m., 1:00 p.m. to 4:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat., Sun. and public holidays"
Bedford Road,West,Bernard Avenue and a point 30.5 metres north,Anytime
Bedford Road,West,Bernard Avenue and a point 30.5 metres south,Anytime
Bedford Road,West,Davenport Road and a point 44 metres north,Anytime
Basin Street,South,Bouchette Street and the east end of Basin Street,Anytime
Bastedo Avenue,East,Hanson Street and the south end of Bastedo Avenue,Anytime
Bastedo Avenue,West,Hanson Street and the south end of Bastedo Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Astley Avenue,East,Douglas Drive and the northwest end of Astley Avenue,Anytime
Atkins Avenue,North,Brock Avenue and Sheridan Avenue,Anytime
Bain Avenue,North,Pape Avenue and east end of Bain Avenue,Anytime
Bain Avenue,South,Broadview Avenue and Ingham Avenue,Anytime
Bain Avenue,South,Carlaw Avenue and Pape Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Beech Avenue,West,Park Avenue and a point 45 metres north of Queen Street East,Anytime
Battenberg Avenue,North,Coxwell Avenue and the east end of Battenberg Avenue,Anytime
Baxter Street,Both,Yonge Street and the east end of Baxter Street,Anytime
Bain Avenue,South,Logan Avenue and Carlaw Avenue,Anytime
Baird Avenue,South,Jones Avenue and Condor Avenue,Anytime
Baker Avenue,East,Walmsley Boulevard and Lonsdale Road,Anytime
Beech Avenue,West,Pine Avenue and Kingston Road,Anytime
Beech Avenue,West,Queen Street East and Pine Avenue,Anytime
