Highway,Side,Between,Prohibited Times and/or Days
Tandridge Crescent,North,A point 43 metres east of Byng Avenue and a point 137 metres east thereof,5:00 p.m. to 8:00 a.m.
Varley Lane,North,Royal York Road and Grenview Boulevard,"10:00 a.m. to 6:00 p.m., Mon. to Sat."
Varley Lane,South,Royal York Road and Grenview Boulevard North,Anytime
Victor Avenue (ET),East,Stanley Avenue and Cavell Avenue,Anytime
Sheldon Avenue,Both,Rimilton Avenue and a point 40.1 metres north of Rimilton Avenue,Anytime
Stanley Avenue (ET),South,Burlington Street and Albert Avenue,Anytime
Stanmills Road,Both,Islington Avenue and Warnica Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Station Road,East,Cavell Avenue and Mimico Avenue,Anytime
Towns Road,Both,Kipling Avenue and the west end of Towns Road,Anytime
Treeview Drive,Both,Valermo Drive and Rimilton Avenue,Anytime
Trehorne Drive,West,Royal York Road and a 356 metres west,8:00 a.m. to 5:00 p.m.
Sheldon Avenue,East,Lanor Avenue and a point 116 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Shorncliffe Road,Both,Dundas Street and North Queen Street,Anytime
Signal Hill Avenue,West,Steeles Avenue West and Steinway Boulevard,Anytime
Steeles Avenue West (north intersection),Both,Kipling Avenue and Albion Road/Highway 50,Anytime
Steinway Boulevard,Both,Albion Road and Steeles Avenue West,Anytime
Stephen Drive,West,Berry Road and Riverwood Parkway,Anytime
Tayrow Road,Both,Elmhurst Drive and Fordwich Crescent,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Taysham Crescent,Both,Monterrey Drive and a point 283.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Templar Drive,East,Holywell Drive and The Westway,Anytime
Valermo Drive,Both,A point 42.5 metres east of Thirtieth Street and Bellman Avenue,8:00 a.m. to 5:00 p.m.
Valhalla Inn Road,Both,The East Mall and Highway 427 off ramp,Anytime
Van Dusen Boulevard,Both,Islington Avenue and a point 43 metres west of Allerton Road,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Silverhill Drive,Both,A point 56.5 metres west of Billingham Road and a point 120 metres west and north thereof,Anytime
Silverhill Drive (easterly section),Both,Lynnford Drive and a point 138.5 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Silverhill Drive (westerly section),Both,Lynnford Drive and a point 138.5 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Stevenson Road,Both,Kipling Avenue and Garfella Drive,Anytime
Stevenson Road,North,Kipling Avenue and a point 86 metres west of Silverstone Drive,Anytime
Stevenson Road,North,Bulbourne Road and Garfella Drive,Anytime
The East Mall,West,A point 35.4 metres south of North Queen Street and Burnhamthorpe Road,Anytime
The East Mall,West,Four Seasons Place and Eglinton Avenue West,Anytime
The East Mall,West,Evans Avenue and a point 306 metres north of The Queensway,Anytime
Victoria Street (ET),North,Burlington Street and the east end of Victoria Street,Anytime
Viking Lane,Both,Kipling Avenue and Joping Avenue South.,7:00 a.m. to 6:00 p.m.
Villa Road,North,Fortieth Street and the west end of Villa Road,Anytime
Silverstone Drive,Both,Mount Olive Drive and Elmcliffe Court,Anytime
Stock Avenue,East,Laneway first north of The Queensway and Warnica Avenue,Anytime
Stoffel Drive,South,Kelfield Street and the east end of Stoffel Drive,Anytime
Stoneham Road,West and south,Mill Road and Old Burnhamthorpe Road,Anytime
The East Mall,West,A point 35.4 metres south of North Queen Street and a point 155 metres south thereof,"4:00 p.m. to 9:00 a.m., Mon. to Fri."
The East Mall,East,Evans Avenue and a point 301 metres north of The Queensway,Anytime
The East Mall,East,A point 338.5 metres north of The Queensway and Eglinton Avenue West,Anytime
Tremayne Avenue,North,Royal York Road and Jackson Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Tremayne Avenue,South,Royal York Road and Jackson Avenue,Anytime
Trillium Terrace,South and east,Stonegate Road and the west end of Trillium Terrace,Anytime
Silverstone Drive,Both,Albion Road and Lexington Avenue,Anytime
Silverstone Drive,Both,Albion Road and Finch Avenue West,Anytime
Strath Avenue,North,Queen Marys Drive and Kingsway Crescent,Anytime
Struthers Street,South,Dwight Avenue and Royal York Road,Anytime
The Kingsway,East,Bloor Street and Kingsway Crescent,Anytime
Van Dusen Boulevard,Both,Islington Avenue and Mimico Creek,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Van Dusen Boulevard,Both,Royal York Road and Cliveden Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
The Kingsway,West,Bloor Street and King Georges Road,Anytime
Tyre Avenue,Both,Kipling Avenue and Royalavon Crescent,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Ulverston Road,South,Crendon Drive and a point 201 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Uno Drive,Both,The Queensway and a point 122 metres north,Anytime
Silverstone Drive,East,A point 53 metres north of Furness Crescent and a point 139 metres north thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Sultan Pool Drive,Both,Betteridge Lane and the north end of Sultan Pool Drive,Anytime
Summitcrest Drive,Both,Waterford Drive and Landron Crescent,Anytime
Summitcrest Drive,North,Royal York Road and Norgrove Crescent (west intersection),Anytime
The Kingsway,Both,Islington Avenue and Hartfield Road,Anytime
The Kingsway,West,Hartfield Road and a point 67 metres south,Anytime
The Kingsway,West,A point 133 metres south of Hartfield Road and a point 187.7 metres north of Anglesey Boulevard,Anytime
Tromley Drive,South,Lloyd Manor Road and a point 76 metres west,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Tromley Drive,South,Lloyd Manor Road and a point 76 metres west,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Tromley Drive,South,A point 76 metres west of Lloyd Manor Road and a point 65 metres west thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Silverthorne Bush Drive,North,Markland Drive (west intersection) and Fieldstone Drive,Anytime
Summitcrest Drive,South,Royal York Road and Norgrove Crescent (west intersection),"8:00 a.m. to 8:00 p.m., Mon. to Fri."
Sun Row Drive,East,Norby Crescent and a point 122 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
The Kingsway,South,Prince Edward Drive and Kingsmore Boulevard,Anytime
The Kingsway,Both,Kingsgrove Boulevard and Royal York Road,Anytime
Lane first north of The Queensway,North,Stock Avenue and a point 43 metres east,Anytime
Van Dusen Boulevard,Both,Royal York Road and Cliveden Avenue,Anytime
Vanevery Street,North,Dwight Avenue and Royal York Road,Anytime
Vansco Road,Both,The Queensway and North Queen Street,Anytime
Simpson Avenue (ET),North,The first lane west of Royal York Road and a point opposite the east limit of St. George Street,Anytime
Simpson Avenue (ET),Both,Ourland Avenue and a point 155.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Sun Row Drive,East,A point 55 metres north of Norby Crescent and a point 52 metres north thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Sunnylea Avenue West,North,Prince Edward Drive South and Grenview Boulevard South,Anytime
Sunvale Drive,Both,Kipling Avenue and Brampton Road,Anytime
The Queensway,Both,Highway 27 and the west limit of the road,Anytime
Lane first north of The Queensway,Both,Stephen Drive and a point 44 metres west,Anytime
The West Mall,East,Evans Avenue and a point 199.5 metres south of Holiday Drive,Anytime
Upland Road,Both,White Oak Boulevard and Wilgar Road,Anytime
Usher Avenue,Both,The Kingsway and Royal York Road,Anytime
Valermo Drive,North,Bellman Avenue and Rimilton Avenue,Anytime
Six Point Road,North,Islington Avenue and Kipling Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m."
Six Point Road,South,Islington Avenue and Kipling Avenue,Anytime
Superior Avenue,South,Stanley Avenue and a point 55 metres east,Anytime
Superior Avenue,North,A point 73 metres east of Lake Shore Boulevard West and Mimico Waterfront Park Trail,Anytime
Superior Avenue,South,A point 77.5 metres east of Lake Shore Boulevard West and Mimico Waterfront Park Trail,Anytime
The West Mall,East,A point 152.5 metres south of Holiday Drive and a point 47 metres south thereof,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri."
Sandwell Drive,West,The Westway and Hobden Place (south intersection),Anytime
Saraband Street,North,Woolenscote Circle and Westmore Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Princess Margaret Boulevard,South,Princess Anne Crescent and a point 103.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Pumfrey Crescent,"West, south and east",Kidron Valley Drive (west intersection) and Kidron Valley Drive (east intersection),Anytime
Queen Marys Drive,South,Kingsway Crescent and Strath Avenue,Anytime
Queens Avenue,East,Allen Avenue and Mimico Avenue,"9:00 a.m. to 6:00 p.m., Mon. to Fri."
Queens Avenue,Both,Lake Shore Boulevard West and Hillside Avenue,Anytime
Queensway Lions Court,East,The Quensway and the south end of Queensway Lions Court,Anytime
Mount Olive Drive,East,A point 128 metres south of Silverstone Drive (northwest intersection) and a point 209 metres south thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Mount Olive Drive,West,A point 128 metres south of Silverstone Drive (northwest intersection) and a point 146.5 metres north of Garfella Drive,Anytime
Old Mill Terrace,"East, north and west",Bloor Street West (west intersection) and Bloor Street West (east intersection),Anytime
Olivewood Road,North,Shawbridge Avenue and Kipling Avenue,Anytime
Riverdale Drive,Both,Albion Road and a point 45.5 metres of the road,Anytime
Riverhead Drive,Both,Fallowfield Road and the south end of Riverhead Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Riverwood Parkway,North,Stephen Drive and a point opposite the south limit of Humber Ridge Drive,Anytime
Sand Beach Road,West,Lake Shore Boulevard West and Nautical Lane,Anytime
Sandwell Drive,East,A point 82 metres north of The Westway and a point 34 metres north thereof,Anytime
Sandwell Drive,East,Learmont Drive and Lavington Drive,Anytime
Mount Olive Drive,Both,Kipling Avenue and Silverstone Drive (southeast intersection),Anytime
Moynes Avenue,West,The Queensway and a point 122 metres north,Anytime
Mulgrove Drive,Both,Burnhamthorpe and Rathgar Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Olivewood Road,South,Shawbridge Avenue and Kipling Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri."
Orianna Drive,West,Horner Avenue and Avalon Road,8:00 a.m. to 6:00 p.m.
Robin Hood Road,North,Chestnut Hills Parkway and a point 50 metres east,Anytime
Robin Hood Road,South,Chestnut Hills Parkway and a point 37 metres east,Anytime
Robin Hood Road,South,A point 37 metres east of Chestnut Hills Parkway and a point 60 metres east thereof,Anytime
Quinby Court,Both,Batawa Crescent and the east end of Quinby Court,Anytime
Queen's Plate Drive,Both,Batawa Crescent and the south limit of the road,Anytime
Queen's Plate Drive,Both,Rexdale Boulevard and Vice Regent Boulevard,Anytime
Mulham Place,Both,Allanhurst Drive and Lemonwood Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Muncey Avenue,East,Golfdown Drive and Elmhurst Drive,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Muncey Avenue,East,Elmhurst Drive and Golfdown Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Orpington Crescent,Both,"A point 74 metres west of Adeline Court and a point 130 metres south, west, north and east thereof",Anytime
Ourland Avenue,Both,Simpson Avenue and a point 73 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Oxford Street (ET),South,A point 291 metres west of Alan Avenue and a point 46 metres west thereof,Anytime
Ronson Drive,North,Kipling Avenue and Shaft Road,Anytime
Ronson Drive,South,Kipling Avenue and Martin Grove Road,Anytime
Ronson Drive,North,Martin Grove Road and a point 320 metres east,Anytime
Rabbit Lane,East,Robinglade Drive and West Deane Park Drive,Anytime
Rabbit Lane,West,West Deane Park Drive and a point 43 metres south,Anytime
Rabbit Lane,East,West Deane Park Drive and Sedgebrook Crescent,Anytime
Munster Avenue,Both,Kipling Avenue and Shawbridge Avenue,Anytime
Murrie Street,South,Dwight Avenue and Royal York Road,Anytime
Neilson Drive,Both,Dundas Street West and Bloor Street,Anytime
Oxford Street (ET),South,Grand Avenue and Wesley Street,Anytime
Oxford Street (ET),North,Royal York Road and a point 32 metres west of Alan Avenue,Anytime
Oxford Street (ET),East and north,A point 65 metres north of Manitoba Street (east intersection) and a point 70 metres north and west thereof,Anytime
Rosemeade Avenue,West,Lane first north of The Queensway and Tenby Street,Anytime
Rosemeade Avenue,East,Laneway first north of The Queensway and Tenby Street,"10:00 a.m. to 6:00 p.m., Mon. to Sat."
Rosewood Avenue,Both,Chartwell Road and the east end of Rosewood Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Ramsbury Road,Both,Bradfield Avenue and the south end of Ramsbury Road,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Rampart Road,South,Martin Grove Road and the east end of Rampart Road,Anytime
Rathburn Road,North,The East Mall and the west end of Rathburn Road,Anytime
Newbridge Road,South,Shorncliffe Road and the east end of Newbridge Road,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Newbridge Road,North,A point 76 metres east of Shorncliffe Road and a point 14 metres east thereof,Anytime
Pakenham Drive,Both,Gosfield Gate and Elmhurst Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Rossburn Drive,Both,Mayland Avenue and a point 206 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Rowntree Road,Both,Kipling Avenue and the east limit of the road,Anytime
Roxaline Street,Both,Lawrence Avenue West and Braecrest Avenue,Anytime
Rathburn Road,South,The East Mall and a point 203 metres east of The West Mall,Anytime
Rathburn Road,South,The West Mall and the west end of Rathburn Road,Anytime
Ravenscrest Drive,South,Duncairn Drive and Glen Agar Drive (northwest intersection),Anytime
Panorma Court,North,Kipling Avenue and a point 45.5 metres east,Anytime
Panorama Court,South,Kipling Avenue and a point 45.5 metres east,Anytime
Royalavon Crescent,Both,Dundas Street West and Tyre Avenue,Anytime
Royalcrest Road,Both,Highway 27 and Martin Grove Road,Anytime
Raymore Drive,North,Scarlett Road and a point 91.5 metres east,Anytime
Reading Court,South,Attwell Drive and the west end of Reading Court,Anytime
New Toronto Street,Both,Dwight Avenue and Kipling Avenue,Anytime
Newholm Road,Both,Cloverhill Road and a point 45 metres north,Anytime
Newington Crescent,"West, north and east",Elmbrook Court (east intersection) and Elmbrook Court (west intersection),Anytime
Panorama Court,South,A point 228 metres east of Kipling Avenue and the east end of Panorama Court,Anytime
Park Boulevard,North,Long Branch Avenue and Thirty First Street,Anytime
Park Boulevard,South,Thirty First Street and Thirty Third Street,Anytime
Royal York Road,Both,Braecrest Avenue and Dixon Road,Anytime
Royal York Road,Both,Lake Shore Boulevard West and the south end of Royal York Road,Anytime
Royal York Road,East,Lake Shore Boulevard West and Eastbourne Crescent,Anytime
Norbrook Crescent,"North, west and south",Woolenscote Circle and Westmore Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Norby Crescent,West,A point 70 metres east of Sun Row Drive and a point 111.5 metres east thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Norby Crescent,North and east,Sun Row Drive and a point 181.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Park Boulevard,South,Long Branch Avenue and a point 61 metres east,Anytime
Park Lawn Road,Both,Lake Shore Boulevard West and The Queensway,Anytime
Park Lawn Road,West,The Queensway and Berry Road,Anytime
Royal York Road,East,A point 100 metres south of Eglinton Avenue West and La Rose Avenue,Anytime
Royal York Road,Both,Varley Lane and a point 150 metres north of Usher Avenue,Anytime
Redwater Drive,Both,Kipling Avenue and Tofield Crescent (west intersection),Anytime
Renault Crescent,South,Royal York Road and a point 105 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Nordin Avenue,West,The Queensway and a point 47 metres north,Anytime
Norgrove Crescent,Both,Summitcrest Drive and the east/west leg of Norgrove Crescent,"8:00 a.m. to 8:00 p.m., Mon. to Fri."
Norgrove Crescent,Both,Summitcrest Drive (east intersection) and a point 151 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Park Lawn Road,Both,Berry Road and South Kingslea Drive,Anytime
Paulart Drive,Both,Dundas Street West and Kebral Avenue,Anytime
Pebble Valley Lane,Both,Mill Road and the east end of Pebble Valley Lane,Anytime
Royal York Road,West,A point 80 metres north of La Rose Avenue and a point 100 metres south of Eglinton Avenue West,Anytime
Norseman Street,North,A point 60.3 metres west of Islington Avenue and Kipling Avenue,Anytime
Norseman Street,South,Islington Avenue and Kipling Avenue,Anytime
Norseman Street,South,Chartwell Road and Royal York Road,Anytime
Penhurst Avenue,East,A point 40 metres south of The Queensway and Dalesford Road,Anytime
Pittsboro Drive,East,Finch Avenue West and the south end of Pittsboro Drive,8:00 a.m. to 5:00 p.m.
Pittsboro Drive,West,Finch Avenue West and the south end of Pittsboro Drive,Anytime
Royal York Road,West,Judson Street and Newcastle Street,Anytime
Royal York Road,West,Birchview Boulevard and a point 140 metres north of Valiant Road,Anytime
Royal York Road,West,Struthers Street and a point 34 metres north,Anytime
Restever Gate,Both,Hinton Road and the south end of Restever Gate,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Resources Road,South,The east end of Resources Road and a point 579 metres west,Anytime
Richgrove Drive,South,Willowridge Road and Martin Grove Road,Anytime
Norseman Street,Both,Chartwell Road and a point 186 metres west,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
North Kingslea Drive,Both,Kingslea Gardens and and point 61.5 metres north and east thereof,Anytime
North Queen Street,Both,Kipling Avenue and north/south leg of North Queen Street,Anytime
Plastics Avenue,Both,The Queensway and Queen Elizabeth Boulevard,Anytime
Plowshare Crescent,West and north,A point 155 metres south of Shockley Drive (east intersection) and a point 23.5 metres south and west thereof,Anytime
Plywood Place,East,The Queensway and the south end of Plywood Place,Anytime
Royal York Road,West,Bloor Street West and White Oak Boulevard,Anytime
North Queen Street,Both,The Queensway and east/west leg of North Queen Street,Anytime
Nottinghill Gate,South,Martin Grove Road and Dalegrove Crescent,Anytime
Porterfield Road,North,Delsing Drive and a point 146.5 metres east,8:00 a.m. to 5:00 p.m.
Portland Street (ET),North,Royal York Road and Wesley Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Portland Street (ET),North,Milton Street and a point 86 metres east,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
St. Andrews Boulevard,South,Windsor Road and York Road,Anytime
St. Georges Road,South,York Road and Windsor Road,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
St. Georges Street (ET),West,A point 106.5 metres north of Judson Street and Simpson Avenue,Anytime
Richview Road,North,Scarlett Road and a point 100 metres west,Anytime
Richview Road,North,A point 390 metres west of Scarlett Road and a point 93 metres west thereof,Anytime
Ringley Avenue,Both,Stephen Drive and Aldgate Avenue,Anytime
Oak Hampton Boulevard,Both,Montgomery Road and Loyalist Road,"8:00 a.m. to 4:00 p.m., Mon. to Fri."
Oakfield Drive,South,Tizzard Avenue and Oakfield Drive,Anytime
Oakfield Drive,North,Royal York Road and Tizzard Avenue,"8:00 a.m. to 4:00 p.m., Mon. to Fri."
Prennan Avenue,East,Bloor Street and Mervyn Avenue,Anytime
Prennan Avenue,Both,Bloor Street and Mervyn Avenue,Anytime
Primrose Avenue (ET),South,A point 29 metres west of Lake Shore Boulevard West and Queens Avenue,Anytime
St. Georges Street (ET),East,Judson Street and a point 76 metres north,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
St. Georges Boulevard,Both,Islington Avenue and York Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
St. Georges Boulevard,North,Islington Avenue and York Road,Anytime
Ringley Avenue,Both,Park Lawn Road and the east limit of Frances Avenue,Anytime
Riverbank Drive,North,Dundas Street and and Hatton Court,Anytime
Riverdale Drive,Both,Albion Road and Lund Avenue,Anytime
Old Burnhamthorpe Road,South,A point 75 metres east and a point 230 metres east of Burnhamthorpe Road (west intersection) and Burnhamthorpe Road (east intersection),Anytime
Prince Edward Drive South,West,Berry Road and Bloor Street West,Anytime
Prince Edward Drive South,East,Berry Road and Bloor Street West,Anytime
Prince Edward Drive North,East,A point 31.5 metres north of Bloor Street West and Dundas Street West,Anytime
St. Georges Boulevard,South,Islington Avenue and a point 236.5 metres west,Anytime
St. Stevens Court,Both,Entire length,Anytime
Sanagan Road,Both,Albion Road and Felan Crescent,Anytime
Morrison Street (ET),North,Second Street and Thirteenth Street,Anytime
Old Mill Road,Both,The Kingsway and the Humber River,Anytime
Prince Edward Drive North,West,Bloor Street West and The Kingsway,Anytime
Queens Avenue,West,Hillside Avenue and Mimico Avenue,Anytime
Queens Avenue,West,A point 33.5 metres north of Mimico Avenue and Stanley Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri."
Queens Avenue,East,Mimico Avenue and Stanley Avenue,Anytime
Morrison Street (ET),South,Seventh Street and Thirteenth Street,"9:00 a.m. to 12:00 p.m., Wed."
Morrison Street (ET),South,First Street and Seventh Street,"9:00 a.m. to 12:00 p.m., Tue."
Old Mill Terrace,West and south,A point 55 metres south of Bloor Street West (west intersection) and a point 76 metres south of Bloor Street West (east intersection),"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Old Mill Terrace,East,Bloor Street West (east intersection) and a point 76 metres south,Anytime
Prince Edward Drive North,West,A point 31 metres north of The Kingsway and a point 41 metres south of Dundas Street West,Anytime
Princess Anne Crescent,West,Princess Margaret Boulevard and a point 212 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Princess Margaret Boulevard,Both,Princess Anne Crescent and a point 103.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Buena Vista Avenue,East,Southlawn Drive and a point 122 metres north of Southlawn Avenue,Anytime
Burcana Road,Both,Birchmount Road and the west end of Burcana Road,Anytime
Burn Hill Road,North,Warden Avenue and the west end of Burn Hill Road,Anytime
Cherry Street (SC),Both,Port Union Road and East Limit Of Cherry Street,"2:00 a.m. to 6:00 a.m., Nov. 1 to Apr. 30"
Chester Le Boulevard,South,Pharmacy Avenue and a point 125 metres west of Pharmacy Avenue,Anytime
Chichester Place,Both,Sheppard Avenue East and the north end of Chichester Place,Anytime
Bexhill Avenue,West,Bolster Avenue and St. Clair Avenue East,Anytime
Borough Approach West,Both,Ellesmere Road and Borough Drive,Anytime
Borough Drive,West and South,Progress Avenue (west intersection) and a point 62 metres west of Borough Approach West,Anytime
Burn Hill Road,South,Warden Avenue and the west end of Burn Hill Road,Anytime
Burnt Bark Drive,Both,Treerun Avenue (east intersection) and Sanwood Boulevard,2:00 a.m. to 6:00 a.m.
Burnview Crescent,Both,Lawrence Avenue East and Gaiety Dive (north intersection),Anytime
Chine Drive,East,St. Clair Avenue East and a point 110 metres south of St. Clair Avenue East,Anytime
Bexhill Avenue,Both,Donside Drive and Dolphin Drive,2:00 a.m. to 6:00 a.m.
Big Red Avenue,Both,McCowan Road and White Heather Boulevard,"2:00 a.m. to 6:00 a.m., Nov. 1 to Apr. 30"
Biltmore Court,Both,Kilbride Road and the north end of Biltmore Court,7:00 a.m. to 6:00 p.m.
Burrows Hall Boulevard,South,Dailing Gate and a point 67 metres east of Dailing Gate,Anytime
Bushby Drive,South,A point 65 metres east of McCowan Road and Grangeway Avenue,Anytime
Bushcroft Grove,Both,Rooksnest Trail and the south end of Bushcroft Grove,"2:00 a.m. to 6:00 a.m., Nov. 1 to Apr. 30"
Civic Road,North,Warden Avenue and Prudham Gate,Anytime
Civic Road,South,Warden Avenue and Sinnott Road,Anytime
Clapperton Avenue,Both,Santamonica Boulevard and Taran Avenue,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Bimbrok Road,West,Eglinton Avenue East and Chillery Avenue,Anytime
Bimbrok Road,East,Eglinton Avenue East and 30.5 metres north of Eglinton Avenue East,Anytime
Bimbrok Road,East,Chillery Avenue and Nero Court,Anytime
Borough Drive,South,A point 30.5 metres west of Borough Approach East and a point 30.5 metres east of Borough Approach East,Anytime
Bushmills Square,Both,Alexmuir Boulevard and Bushmills Square (west intersection),2:00 a.m. to 6:00 a.m.
Byng Avenue (SC),East,Denton Avenue and a point 50 metres north of Danforth Avenue,Anytime
Byng Avenue (SC),East,Danforth Avenue (west intersection) and the south end of Byng Avenue,Anytime
Claremore Avenue,East,Kingston Road and McIntosh Street,Anytime
Cleadon Road,Both,Alexmuir Boulevard and McNicoll Avenue,2:00 a.m. to 6:00 a.m.
Birchcliff Avenue,West,Kingston Road and Freeman Street,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Birchmount Road,Both,Ellesmere Road and Finch Avenue East,Anytime
Birchmount Road,West,Lawrence Avenue East and Ellesmere Road,Anytime
Borough Drive,South,A point 30.5 metres west of Borough Approach West and a point 30.5 metres east of Borough Approach West,Anytime
Brantford Drive,West,Corinthian Boulevard (south intersection) and Corinthian Boulevard (north intersection),Anytime
Breezeway Place,Both,Sylvan Avenue and the south end of Breezeway Place,Anytime
Calthorpe Avenue,Both,Ellesmere Road and Calverley Trail,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Commander Boulevard,West and south,Huntingwood Drive and McCowan Road,Anytime
Commonwealth Avenue,East,Wolfe Avenue and Verdun Avenue,Anytime
Commons Drive,East,Meadowacres Drive and Dobbin Road,Anytime
Birchmount Road,East,Vauxhall Drive and Ellesmere Road,Anytime
Birchmount Road,East,Dulverton Road and Vauxhall Drive,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Birchmount Road,East,Springbank Road and the south end of Birchmount Road,Anytime
Brenda Crescent,North,Kennedy Road and Cleta Drive,Anytime
Brenyon Way,Both,A point 105 metres north of John Tabor Trail and a point 60 metres south of John Tabor Trail,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Brenyon Way,East,Pioneer Pathway and a point 30.5 metres south of Pioneer Pathway,Anytime
Calverley Trail,"West, North and East",Canmore Boulevard (west intersection) and Canmore Boulevard (east intersection),Anytime
Canlish Road,East,Lawrence Avenue East and Cornwallis Drive,7:00 a.m. to 6:00 p.m.
Coronation Drive,South,Galloway Road and Poplar Road (south intersection),Anytime
Birchmount Road,East,Danforth Avenue and Danforth Road,7:00 a.m. to 6:00 p.m.
Briar Dale Boulevard,North,Fallingbrook Road and Woodland Park Road,Anytime
Canlish Road,West,Lawrence Avenue East and Cornwallis Drive,6:00 p.m. of one day to 7:00 a.m. of the next following day
Canongate Trail,Both,Sanwood Boulevard and Purcell Square,2:00 a.m. to 6:00 a.m.
Carabob Court,East,Bonis Avenue and a point 103.7 metres south of Bonis Avenue,Anytime
Clonmore Avenue,South,Blantyre Avenue and Fallingbrook Road,Anytime
Birchmount Road,Both,A point 152.5 metres south of Eglinton Avenue East and Eglinton Avenue East,Anytime
Birchmount Road,Both,A point 152.5 metres north of St.Clair Avenue East and a point 152.5 metres south of Eglinton Avenue East,7:00 a.m. to 6:00 p.m.
Bridgend Street,Both,A point 25.4 metres west of Shoalhaven Drive and a point 27 metres east of Marine Approach Drive,"2:00 a.m. to 6:00 a.m., Nov. 1 to Apr. 30"
Bridletowne Circle (southwest leg),Both,Finch Avenue East (west intersection) and Warden Avenue (south intersection),Anytime
Carlingwood Court,Both,Havenview Road and Carlingwood Court (west intersection),"2:00 a.m. to 6:00 a.m., Nov. 1 to Apr. 30"
Conlins Road,Both,A point 60 metres south of Ellesmere Road and Military Trail,"7:00 a.m. to 9:00 p.m., Mon. to Fri."
Conlins Road,Both,Ellesmere Road and a point 60 metres south of Ellesmere Road,Anytime
Consilium Place,East,Progress Avenue and the west end of Consilium Place,Anytime
Birchmount Road,West,Kingston Road and the south end of Birchmount Road,Anytime
Bridletowne Circle (northeast leg),Both,Finch Avenue East (east intersection) and Warden Avenue (north intersection),Anytime
Bridletowne Circle (southeast leg),Both,Warden Avenue (south intersection) and Finch Avenue East (east intersection),Anytime
